strategy_id	strategy_name	strategy_description	strategy_answerset_id
2151	"Roeid werren tot in a hoor"	"zeer rood worden"	Aalsters
2152	"Zu zjiedas as een oeirebiest* loeipen"	"hatelijk, pesterig gedrag vertonen (*oorwurm)"	Aalsters
2153	"Oeverhoeip me iemand liggen"	"in onmin verkeren"	Aalsters
2154	"Ni voeier as 't peerd kennen"	"gezegd als men niet verder kan door bijvoorbeeld technisch obstakel"	Aalsters
2155	"(a?) onnoeizel schoiten"	"hevige diarree hebben"	Aalsters
2156	"('t?) zitj schief"	"er zijn problemen, onenigheid (de zaak zit scheef)"	Aalsters
2157	"Stillekes zwijgen"	"van krommen haas gebaren, geen woord (over) reppen, blijven zwijgen ondanks dat het ter sprake komt"	Aalsters
2158	"Kert in (a) strengen* liggen"	"opvliegend, gauw beledigd zijn (*=trekstreng van lastdier)"	Aalsters
2159	"Tobbelt'hoeip(?) schoiten"	"het begeven, ineenstuiken (ook van persoon: flauwvallen)"	Aalsters
2160	"Tobbelt'hoeip(?) schieten"	"kappelen (bijvoorbeeld mayonaise)"	Aalsters
2161	"Tobbelt'hoeip liggen me iemand"	"in ruzie liggen"	Aalsters
2162	"Van 't weirk weg koiken"	"gebaren dat (=doen alsof) men niets ziet of hoort"	Aalsters
2163	"Oever en sweir goon"	"seks hebben (vanuit het standpunt van de man gezien)"	Aalsters
2164	"(Ne kir?) oever goon"	"seks hebben (vanuit het standpunt van de man gezien)"	Aalsters
2165	"Schief zitten"	"niet goed gaan, verkeerd lopen"	Aalsters
2166	"De wiek oon hemmen"	"verlies lijden door speculeren; doodop zijn"	Aalsters
2167	"Ne leiper (d'er?)van binnen hemmen"	"een (nare) ervaring opgedaan hebben, er genoeg van hebben"	Aalsters
2168	"A kanool vol hemmen"	"zat zijn"	Aalsters
2169	"Mé de bezze (van Fortunatus) rond (annen?) nek geboeren zen"	"van rijke afkomst zijn, rijke ouders hebben"	Aalsters
2170	"Auverecht zen (gelèk de Woleperen*)"	"tegendraads zijn (*=Waalse paarden)"	Aalsters
2171	"Azoei zen"	"in verwachting zijn"	Aalsters
2172	"Bedesterd zen"	"bekommerd zijn, ermee bezig zijn/bezwangerd zijn"	Aalsters
2173	"Bedoeiveld zen van iet"	"ervan ingenomen, bezeten zijn"	Aalsters
2174	"(Goed?) beleid zen"	"belegd met juwelen"	Aalsters
2175	"Bereen zen van den doeivel/de more/de moon"	"van de duivel bezeten zijn"	Aalsters
2176	"Wel zen/wel besleigen zen/schoen gevoren zen"	tegengaan	Aalsters
2177	"Bried van schaavers zen in a gezicht"	"gezegd van een mager persoon"	Aalsters
2178	"Briedgeschaaverd zen in a lein/a gat"	"brede heupen/achterwerk hebben"	Aalsters
2179	"(z') es mo goed ver de missen oit d'eirten 't haaven"	"ze is een vogelschrik van een vrouw"	Aalsters
2180	"Gienen halve frang (nemir?) weerd zen"	"uitgeteld zijn"	Aalsters
2181	"Gin sjik weerd zen"	"zich niet goed voelen"	Aalsters
2182	"Diefelèk gestoelen zen"	"aan woekerprijs, bedrog"	Aalsters
2183	"Ni goed ba den (anen) zen"	"niet goed snik zijn"	Aalsters
2184	"Hoiliger as de paas zen"	"overdreven in de weer, correct, vroom zijn"	Aalsters
2185	"Goe van inslag* zen"	"een goede eter zijn (*=gezonde voeding)"	Aalsters
2186	"Kalisj zen"	"stomdronken zijn/knock out, uitgeteld zijn"	Aalsters
2187	"Kalle zen"	"dood zijn"	Aalsters
2188	"Schippes/schampavie/ribbedebie/schiebels zen"	"weg zijn"	Aalsters
2189	"(Anne) kop kwoit zen"	"in verwarring zijn, niet meer weten waar zijn hoofd staat"	Aalsters
2190	"Nis achter (zen) oeiren zen"	"groen, onervaren zijn"	Aalsters
2191	"t zaat op (zen?) patatten ni weerd zen"	"niets betekenen, niets presteren"	Aalsters
2192	"(Bekast?) (zen?) rondel kwoit zen"	"hevige diarree hebben"	Aalsters
2193	"(Der?) gienen trek nevvest zen"	"er niet ver naast zijn"	Aalsters
2194	"Goe van oeir(en) en poeiten verzing zen"	"welgevormd meisje"	Aalsters
2195	"(a?) weirk kwoit zen"	"dood zijn"	Aalsters
2196	"(Ni?) veil van zeg zen"	"zwijgzaam, stil zijn"	Aalsters
2197	"Binnen zen"	"zijn schaapjes op het droge hebben, rijk geworden zijn"	Aalsters
2198	"Goed van innemen zen"	"graag eten/drinken"	Aalsters
2199	"Goed van oonnemen zen"	"een goed verstaander zijn, vlug iets beet hebben"	Aalsters
2200	"(Zennen?) balong go ni op"	"zijn pogingen zijn tevergeefs, zijn plannetje lukt niet, men doorziet hem"	Aalsters
2201	"Zennen heirink wiltj ni breen/bakken"	"zijn pogingen zijn tevergeefs, zijn plannetje lukt niet, men doorziet hem"	Aalsters
2202	"Alle baten* helpen"	"opbrengen (*=Bargoens voor kak)"	Aalsters
2203	"D'intensje mokt 't weirk"	"de bedoeling telt"	Aalsters
2204	"Zen bloed kabbelde(ge)n van 't verschieten"	"schrik hebben, griezelen"	Aalsters
2205	"('t?) bobantjen es af"	"hij/zij is dood ('zijn bobijn(tje) is afgelopen); doodop, einde der krachten"	Aalsters
2206	"(Zen?) boboin es af"	"hij is doodmoe, aan het einde van zijn krachten; hij is dood"	Aalsters
2207	"(Zen?) kaas es af"	"hij is doodmoe, aan het einde van zijn krachten; hij is dood; 't is met hem gedaan (*kous: katoenen pit van olielamp)"	Aalsters
2208	"(Zennen?) boenjel stekt op"	"hij is stervende; hij is hovaardig"	Aalsters
2209	"De/(Zennen?) lesten boenjel stekt op"	"het werk is bijna af; de doodstrijd, bijvoorbeeld bij nakend failissement"	Aalsters
2210	"Ieder boentjen es een toentjen"	"van bonen laat men winden"	Aalsters
2211	"t ien es voil boeter en 't ander es voile vis"	"het ene noch het andere is goed"	Aalsters
2212	"(Heren?) heif* goot"	"zij is duideijk nog zwanger (*heef=zuurdesem)"	Aalsters
2213	"De boeter rikt nor den heif*"	"letterlijk: ranzig; figuurlijk: de appel valt niet ver van de boom (*heef=zuurdesem)"	Aalsters
2214	"Alles heit zennen toid, gelèk de breembeizen"	"je beste jaren zijn voorbij; ook gezegd als iets versleten is"	Aalsters
2215	"De daugen hemmen niet/ni oon"	"de dagen gaan snel voorbij, de tijd vliegt"	Aalsters
2216	"Nen dille koeip* es nen dieren koeip"	"kwaliteit moet betaald worden (*=goede koop)"	Aalsters
2217	"(Zennen?) doeivel es doeid"	"hij is de oude (=plezierige)/ de vrouwenloper van vroeger niet meer"	Aalsters
2218	"Den doeivel zitj er op"	"de duivel is ermee geboeid"	Aalsters
2219	"Een eiremensjegat, da bestoot oit 2 stikken"	?	Aalsters
2220	"Gedone plezieren en geleen eiremoei zen rap vergeten"	"men vergeet niet snel"	Aalsters
2221	"Die eiten me eiten verliest verliest niet"	"gezegd als je ergens eet voor je eigen thuismaaltijd"	Aalsters
2222	"Nen eizel goot kapot op zen poeiten"	"schertsend gezegd tegen iemand die sukkelt met zijn benen/voeten"	Aalsters
2223	"Heer ekster woentj hoeig (mor heer wolken hangen ewa lieg)"	"zij heeft lange benen (en zij heeft grote borsten)"	Aalsters
2224	"('t er es zeiker?) een ekster oit a hol gevloegen?"	"gezegd bij verwondering omdat een gierig iemand plots een rondje geeft"	Aalsters
2225	"Den endj zal 't oitwoizen"	"we zullen wel zien hoe het afloopt"	Aalsters
2226	"Feizeleers* zen kweizeleers"	"gezegd van iemand die niet openlijk, dus stil, iets zegt (*=fluisteraars)"	Aalsters
2227	"Zenne frang valt"	"hij begrijpt, doorziet het eindelijk"	Aalsters
2228	"(as?) a gat azoei leit"	"als ge het daarop hebt"	Aalsters
2229	"t gelik es ver hoer en boer"	"enkel slechten en dommen hebben geluk"	Aalsters
2230	"Goeste es koeip"	"over smaak valt niet te twisten"	Aalsters
2231	"Op zen hol (keje?) (a?) harlozje geloik zetten"	"hij is nauwgezet, regelmatig, stipt"	Aalsters
2232	"(Men?) hert poepelden gelek as een voegelken in een papieren zaksken"	"ik was zeer gelukkig"	Aalsters
2233	"Alle hertekens zen gezisterkes"	"ieder krijgt evenveel"	Aalsters
2234	"Alle kinjekes zen Gods hertekens"	"ieder krijgt evenveel"	Aalsters
2235	"(Heer?) herteken slopt nog"	"slaapdronken, nog niet volledig wakker (gezegd van kinderen)"	Aalsters
2236	"D'ier es ver de zotten gemokt"	"gezegd ter verontschuldiging als men te laat komt"	Aalsters
2237	"Heer jongens zen thois"	"ze heeft een zware boezem"	Aalsters
2238	"De kaders hangen schief"	"ruzie, het zit tegen, huiselijke twist"	Aalsters
2239	"Verandering van prit es kallekeskeiremes*"	"? (*=mannelijke seksuele genoegdoening)"	Aalsters
2240	"Een aa kapelle moe versierd zen/werren"	"een oudere vrouw moet zich opdirken (wil ze nog succes bij de mannen hebben)"	Aalsters
2241	"Zenne kees looten"	"sterven (kees = (veel) geld)"	Aalsters
2242	"Wie da ba den boer werkt, mag op zen keire zitten"	"wie aan de bron zit, profiteert mee"	Aalsters
2243	"Iet es van de keire gebosjt"	"men heeft daar geërfd"	Aalsters
2244	"(Anne?) keller valt in"	"je maag 'keert'"	Aalsters
2245	"t kindj zie bliek"	"de zaak is niet in orde, zwak"	Aalsters
2246	"(Zen?) kloejten zen kaat"	"hij is dood"	Aalsters
2247	"Een koei werd op staal verkocht"	"jonge dochters moeten niet gaan dansen om aan een man te geraken"	Aalsters
2248	"('t?) koeireken es af"	"hij/zij is dood"	Aalsters
2249	"(Zen?) pees es af"	"hij is dood"	Aalsters
2250	"('t zellen?) ander bannen van de koip springen!"	"dat zullen we eens zien! wacht maar!"	Aalsters
2251	"(Heer?) konoinen hangen (dicht) tegen den drood"	"haar tepels priemen door haar kleren heen; ze heeft dikke borsten"	Aalsters
2252	"(Heer?) konantjes kommen zing"	"haar tepels priemen door haar kleren heen"	Aalsters
2253	"De konantjes loeipen los"	topless	Aalsters
2254	"(Men?) lein brekt af"	"pijn door overdadig werken, heffen"	Aalsters
2255	"Ne roike mensj es oordig"	"gezegd als iemand ongewoon handelt of ongewone mening, smaak heeft"	Aalsters
2256	"(a?) moil radj vizjilant*/per vizjilante*"	"gezegd tegen iemand die smaakvol (maar ongepast) snoep kauwt (*=vigilant: huurrijtuig, dat dus heen en weer gaat)"	Aalsters
2257	"Menne kop sleeg oepen en toe"	"ik verloor mijn zelfbeheersing; ik had hoofdpijn"	Aalsters
2258	"('t er?) zitj nen oil op 't dek"	"de muren hebben oren"	Aalsters
2259	"(Zen?) patatten kommen oit"	"zijn teen zit door de kous"	Aalsters
2260	"(Zenne?) rekker is af"	"hij is de klas"	Aalsters
2261	"(Menne?) rigge sloot oepen en toe (van de kaa)"	"gezegd bij koortsigheid, hevige verkoudheid (bibberen, klappertanden,…)"	Aalsters
2262	"Ne goeien sadoot pist woor dat'n stoot"	"een flink man gaat voor niemand uit de weg, in onvervaard"	Aalsters
2263	"Ieder beit is een scheit"	"gezegd bij 't eten van rapen: van rapen laat men winden"	Aalsters
2264	"Raupen doeng 't holleken gaupen"	"van rapen laat men winden"	Aalsters
2265	"(Zen?) schelf valt in"	"gezegd als iemand een boer laat"	Aalsters
2266	"Gien voif seng macht (ni mir?) in (a?) loif hemmen"	"geen macht meer hebben, zich slap voelen"	Aalsters
2267	"(a) slep/vlagge hangt oit"	"je hemdslip steekt niet in je broek"	Aalsters
2268	"Woter es stront miester"	"met water krijg je alles schoon"	Aalsters
2269	"De t* hangt er oon"	"het is overdreven, het is té (*=de letter t)"	Aalsters
2270	"(Men?) tong hangt op (men?) hert"	"ik ben buiten adem (bijvoorbeeld door hard te rennen)"	Aalsters
2271	"t vat moet af"	"gezegd als men dringend moet plassen"	Aalsters
2272	"a voir oi beiter in de koelenbak/hoeljenbak geschoeten"	"je was beter niet geboren (gezegd als men iets doet mislukken, een flater begaat)"	Aalsters
2273	"De moer viel op de vois"	"het viel passend bijeen"	Aalsters
2274	"Tissen tiejnen en den elven komt 't weir op zè zelven"	"omstreeks 10 uur kan men zien welk weer het zal worden"	Aalsters
2275	"De welle stekt"	"gezegd van een persoon die hoogmoedig of verwaand wordt doordat hij er financieel op vooruit is gegaan (welle = weelde)"	Aalsters
2276	"(Zen?) gemoed komt vol"	"hij is ontroerd"	Aalsters
2277	"De mosselen doeng de vis afsloon"	"door concurrentie daalt de prijs"	Aalsters
2278	"t spel zitj op de waugen"	"de ruzie is aan de gang"	Aalsters
2279	"Mennen broinen kaan da ni trekken"	"dat kan Bruin (bruin paard) niet trekken (=betalen)"	Aalsters
2280	"(Zen?) kees brandt langs twie kanten"	"zijn krachten door roekeloosheid verspillen"	Aalsters
2281	"(Zennen) neis krolt"	"hij is in zijn schik, is opgezet"	Aalsters
2282	"(Zen) oeiren toiten"	"gezegd wanneer men over iemand roddelt"	Aalsters
2283	"('t?) es van (den) allei"	"t is louche, minderwaardig"	Aalsters
2284	"('t?) es van oever d'halfdeir*"	"van slechte kwaliteit (*=onderste helft van tweedelige staldeur)"	Aalsters
2285	"('t?) es van 't halvedroi donker"	"van slechte kwaliteit, zus en zo, onbetrouwbaar"	Aalsters
2286	"('t?) es van keeskeschiet*"	"van slechte kwaliteit, op de kermis geschoten (*=vlammetje van brandende kaars uitschieten)"	Aalsters
2287	"('t?) es van mersie madam"	gratis	Aalsters
2288	"('t?) es van men? Oeir"	"het is maar zus en zo"	Aalsters
2289	"('t?) es van petje ploei"	duur	Aalsters
2290	"('t?) es in de sjakosj"	"t is voor mekaar"	Aalsters
2291	"('t?) es baat*"	"het loopt verkeerd (*Bargoens voor kak)"	Aalsters
2292	"('t?) es bagaar"	"er wordt hier gevochten, er is onenigheid"	Aalsters
2293	"('t?) es vollen bak"	"er is veel volk"	Aalsters
2294	"('t?) es 't schoeinstje van a liereke bakkes ni"	"je moet er niet fier op zijn"	Aalsters
2295	"('t?) es 't schoeinstje van a gezicht ni"	"je moet er niet fier op zijn"	Aalsters
2296	"('t?) es t schoeinstje van a histoere ni"	"je moet er niet fier op zijn"	Aalsters
2297	"('t?) es bros of onderweigen*"	"het lukt niet, het wordt niets (*=?)"	Aalsters
2298	"('t?) es den doeivel en zen mojer"	"het wil maar niet lukken"	Aalsters
2299	"('t?) es (nogal?) een eirt"	"t is 't vernoemen niet waard"	Aalsters
2300	"('t?) es nen hoos as'ten in de klauveren zitj"	"hij kan soms dwars, averechts zijn"	Aalsters
2301	"('t?) es ienen ver leer op te kloppen"	"iemand met een dikke buik"	Aalsters
2302	"('t?) es nen numero"	"t is me er eentje"	Aalsters
2303	"('t?) es ienen van 40/50 boeven de pas"	"hij is klein (1.40m of 1.50m, want de 'pas' is 1m hoog: metselaarstaal)"	Aalsters
2304	"('t?) es ne rol onder de mensjen"	"een plaag van bijvoorbeeld griep, buikloop, …"	Aalsters
2305	"('t?) was (mor?) een losse scheit"	"vals alarm, storm in glas water…"	Aalsters
2306	"(da?)'s anderen teij as kaffe"	"dat is veel beter, hoger, sterker, enzovoort"	Aalsters
2307	"('t?) es ienen van twie ver ien"	"hij ziet scheel"	Aalsters
2308	"('t?) es gien(en) die op 't veldj zol kalveren"	"hij weet van wanten"	Aalsters
2309	"(Da?)'s (anne?) vlasdank"	"stank voor dank (vlas=vals)"	Aalsters
2310	"(Dat?) es 't Jaaksken van Brissel"	"die zich niet blootgeeft, de eer probeert hoog te houden, trots blijft"	Aalsters
2311	"Den aâm (adem) uitgaan"	"sterven, den laatste adem geven."	Brugs
2312	"Den aap luizen"	"lui zijn"	Brugs
2313	"Al dat lepel lekken kan"	"dat is jong en oud, allen zonder onderscheid, van de kleine kinderen af, die men met de paplepel opvoedt, welke zij vaak, naarmate ze ouder worden, liever in een brandewijnkommetje met suiker zien; anderen moeten genoegen nemen met de brijpot"	Brugs
2314	"Weten iemand te hebben"	"iemand zwakke zijde kennen, de kunst weten om in iemands gunst te staan, om hem te behagen en aldus te verkrijgen wat men wilt"	Brugs
2315	"Het water afzetten"	"aftappen, van eenen waterzuchtige"	Brugs
2316	"De stove ajieren"	"de kachel wel doen branden, met er tijdelijk de as uit te koteren en nieuwe brandstof in te doen"	Brugs
2317	"Het land aijeren"	"het beploegen, mesten, zuiveren, in een woord alles doen wat het nodig heeft om vruchtbaar te zijn"	Brugs
2318	"Den asem breken"	"elke uitademing in twee of drie keer uitstoten, zoals men soms doet in het lopen"	Brugs
2319	"Het aveke geven"	"bij speelkinderen; 's avonds voordat men uit elkaar gaat, elkaar achterna lopen om de ander het laatst aan te raken"	Brugs
2320	"Avend luiden"	"de avondklok luiden"	Brugs
2321	"De beeste spelen"	"een hels leven maken"	Brugs
2322	"Den bijs steken"	"driftig aan het lopen gaan als een koe die de bremzen hoort ronken, snel vluchten, aan 't bijzen gaan"	Brugs
2323	"De school/De mis blend slaan"	"gaan wandelen of spelen, terwilj men naar school of de mis had moeten gaan"	Brugs
2324	"Den blok slepen"	"wordt gezegd van iemand die als een slaaf al het lastigste werk moet verrichten"	Brugs
2325	"Den boventoon zingen"	"iemand overheersen, hoger en machtiger zijn dan de anderen"	Brugs
2326	"De breeveertien uithangen/laten waaien"	"de grote heer spelen"	Brugs
2327	"De broek lappen en het garen toedragen"	"wanneer men ons de onkosten niet vergeldt die wij doen om iemand een dienst te bewijzen"	Brugs
2328	"Den haan buiken"	"wordt bij de landlieden schertsend gezegd van een paardenknecht wanneer, in het mennen van de oogst, zijn wagenvoer omklaait"	Brugs
2329	"De kamer kobbenetten"	ragen	Brugs
2330	"De sensie niet hebben"	"geen moed hebben, de moed niet hebben, uit hoofde meest van ziekelijkheid"	Brugs
2331	"De melk doopen"	"er water in mengen"	Brugs
2332	"Den worm doorgroeien"	"bomen die zo groeien dat de houtmaden hen niet dood kunnen knagen"	Brugs
2333	"Den stap doorterten/doortrappen"	"een besluit nemen van iets te doen"	Brugs
2334	"Den doovaard spelen/maken"	"zich doof houden"	Brugs
2335	"Den duim leggen"	"zich ten onderen geven, bekennen dat men overwonnen is"	Brugs
2336	"Den duivel inhebben"	"als bezeten zijn"	Brugs
2337	"Den effenaar houden"	"wordt gezegd bij kaarters en andere spelers om aan te duiden dat men zo veel wint als men verliest, dat men omtrent effen staat"	Brugs
2338	"D'elje geven"	"met geweld slaan"	Brugs
2339	"De beenen flikkeren"	"dezelve snel oprapen en wippelende bewegen in 't gaan, in 't lopen, in 't dansen"	Brugs
2340	"Het gat uitgaan/uittrekken"	"de deur uitgaan, henengaan"	Brugs
2341	"Het gat schoon hebben/vinden/zien"	"een voordelige gelegeheid hebben of zien om iets te doen"	Brugs
2342	"Het kunnen halen"	"het kunnen uithouden om iets te verrichten, het kunnen masschen, iets machtig zijn"	Brugs
2343	"De hand verwisselen"	"om een ongerief of een last kwijt te raken, een middel gebruiken dat dat ongerief of die last niet wegneemt, maar enkel voor een moment verlicht of een ander uitzicht geeft"	Brugs
2344	"De hane maken/scheren"	"de baas spelen"	Brugs
2345	"Den hane verdrinken"	"als de boer fooie of kermis houdt voor zijn werklieden, de zondag na de inhaal van de oogst, gaan ze 's namiddags drinken, op de kosten van hun boer"	Brugs
2346	"Het hazevel aantrekken/aanstroppen"	"het hazepad kiezen, vluchten"	Brugs
2347	"Het heil houden"	"het volhouden, niet ten onderen gaan, in welstand blijven"	Brugs
2348	"Het herte voeren"	"de stoutheid hebben (van iets kwaads te doen)"	Brugs
2349	"Den hondedraf loopen"	draven	Brugs
2350	"Het houden"	"net uithouden, doorstaan"	Brugs
2351	"De huwhave vieren"	"zo heet het gebruik bij 't welk dezen, die in een bruiloftfeest geweest hebben, twee of drie  weken daarna wederom samenkomen in 't huis van de nieuwgehuwden"	Brugs
2352	"De vluwe/stelnet inleggen"	"in 't water dompelen en vastleggen om vis te vangen"	Brugs
2353	"De katsen leggen"	"de plaatsen tekenen waar de bal zijn loop staakt"	Brugs
2354	"De kanse verzitten"	"de goede gelegenheid missen door ergens te lang te zitten"	Brugs
2355	"De vensters kapéllen"	"de twee blinden van een venster half toedoen"	Brugs
2356	"De eere kavelen"	"verschonen, van vlekken vrijwaren"	Brugs
2357	"Den schoof keeren"	benaargeven	Brugs
2358	"De stake keeren"	"van een bol die over de staak omkeert"	Brugs
2359	"Den kei kussen"	"de buitenwacht krijgen, niet ontvangen worden in een huis"	Brugs
2360	"Den keizer gezien hebben"	"dronken zijn"	Brugs
2361	"De klem heben"	"ledig zijn, uit luiheid niet werken of maar half werken"	Brugs
2362	"Den kop hebben"	"verstandig en vernuftig zijn, talent hebben"	Brugs
2363	"De krabbe snijden"	"de gelegenheid van grote winst waarnemen"	Brugs
2364	"De soeize kroden"	"de zeugen jagen, een kei of blokje hout met de kolve voortslaan langs de grond, in het kolvespel"	Brugs
2365	"Den beer lee'en"	"den zot scheren, uitgelaten zijn, zijn hart ophalen"	Brugs
2366	"De leere optrekken"	"van iemand die ergens op geklommen is, de leere ophaalt zodat niemand hem kan volgen"	Brugs
2367	"De stove leggen"	"schaverlingen en spaanders of bakkerskolen in de stove leggen en ze brandveerdig maken"	Brugs
2368	"Den lever doen zwemmen"	"overvloedig veel drinken"	Brugs
2369	"De liere draaien"	"schreien, schimpende gezeid van kinders"	Brugs
2370	"De lippen lekken"	"likkebaarden tot teken dat men iets lekker gegeten heeft of gaat eten"	Brugs
2371	"De lippe(n) spannen"	"beginnen te schreien of wenen"	Brugs
2372	"Den luchtbal opsteken"	"weglopen zonder zijn schulden te betalen"	Brugs
2373	"De mare zoeken"	"een zogezegde toverkunst om te achterhalen wie de voorgaande nacht van de mare bereden is geweest"	Brugs
2374	"Den mast klimmen"	"climb the mast of plenty'"	Brugs
2375	"Den meulenaar versmooren"	"te veel water in de pap, in de soep of in de kofie doen"	Brugs
2376	"Het mispakken"	"het niet treffen, mislukken"	Brugs
2377	"De kanse missen"	"de gelegenheid niet treffen, niet waarnemen"	Brugs
2378	"Den moor wasschen"	"nutteloze moeite doen"	Brugs
2379	"De moord/walge steken"	"sterven, kapot gaan, omgaan"	Brugs
2380	"Den voet omslaan"	"hem verpijnen of verwringen door een scheve tred"	Brugs
2381	"Het ontzetten"	"wegvluchten, weglopen"	Brugs
2382	"De neus opsteken/opkrullen"	"hetzij om zijn tegenzin en misgenoegen uit te drukken, hetzij om met iemand te schimpen"	Brugs
2383	"Het opsteken"	"vluchten, wegijlen"	Brugs
2384	"De patijne staan/afwachten"	"op iemand wachten"	Brugs
2385	"De peze steken"	"de bijs steken"	Brugs
2386	"De peze beschijten"	"teleurgesteld worden, bijvoorbeeld van iemand die sterft, spijt al de artsen en de kunst van de dokter"	Brugs
2387	"Het eten pegelen"	"de spijs spaarzaam bedelen en, of 't ware, meten en wegen"	Brugs
2388	"De kaarte pellen"	"bij kaartspelers - het bovenste kaartblad afnemen van de dos of doodboek"	Brugs
2389	"De/te perre staan"	"op het hoofd staan met de benen in de lucht"	Brugs
2390	"De/te perre keeren"	"hol over bol omvallen"	Brugs
2391	"Het pelderijn dienen"	"er driemaal rond gaan, of er op de knieën driemaal rond kruipen"	Brugs
2392	"Den lampestok pinten"	"bij spinsters, hem tevoorschijn brengen er de lampte aan hangen"	Brugs
2393	"De plate poetsen"	"zich wegmaken"	Brugs
2394	"De gerst reeden"	"haar te kiemen leggen op de moutvloer"	Brugs
2395	"Het koorn reeden"	"in de maand maart, het jonge koren op de akker rollen, slepen of eggen, opdat het beter groeit"	Brugs
2396	"De vente reeden"	"de koopwaren, die men op de markt wil brengen, een schoon fatsoon geven en aantekkelijk maken voor de koper"	Brugs
2397	"Den boog rekken"	"de pees van een gespannen boog, met de pijl, naar zich trekken om te schieten"	Brugs
2398	"De kloefen rokelen"	"gloeiende assen en kolen uit de haard in de kloefen"	Brugs
2399	"De rooze/het roosken uitsteken"	"op zijn uiterste best gekleed zijn"	Brugs
2400	"Den reep scheren"	"bij timmerlieden - het hijstouw aan de windas vastmaken en over de katrollen brengen"	Brugs
2401	"Het gewand scheren"	"geheel het hijstuig gereedmaken om een gewicht op te trekken, met windas, reepen en katrollen"	Brugs
2402	"De edelman/den heer/den grooten heer/den prinse scheren"	"uit praalzucht de doening van de edelman navolgen"	Brugs
2403	"De bagage scheren"	"beslag maken"	Brugs
2404	"Den hane scheren"	"de baas spelen, moedwillig zijn"	Brugs
2405	"Den dullaard scheren"	"met wreedheid te werk gaan"	Brugs
2406	"Den dullen scheren"	"zijn gramschap uiten"	Brugs
2407	"De beeste scheren/spelen/maken"	?	Brugs
2408	"Den schreeuwer scheren"	"lawaai maken"	Brugs
2409	"Den zot/aap scheren"	schertsen/boerten	Brugs
2410	"Het schoone hebben"	"een gemakkelijk leven hebben"	Brugs
2411	"De smelte maken"	"zich wegmaken, verdwijnen"	Brugs
2412	"Het koorn snuiten"	"er de afhangende vezelinge en steetelinge met de vingers afsnuiten van een lee of boot vlas"	Brugs
2413	"De spa vagen"	sterven	Brugs
2414	"Het wild staan"	"wordt gezegd van de jachthond die stil blijft staan en blijft kijken naar het wild dat hij ontwaard heeft, en aldus de jager verwittigt"	Brugs
2415	"Den hoorn/de trompet/het schuifeling steken"	"erop blazen"	Brugs
2416	"Het stroodje steken"	"hier of daar door een misverstand zegd voor het roodje steken"	Brugs
2417	"De broek vermaken en het garen toedragen"	"iemand een dienst bewijzen waar men geld aan hangt, bijvoorbeeld door iemand een brief schrijven en zelf 't port betalen"	Brugs
2418	"Het vier toesteken"	"het hout aan de haard voortduwen, telkens als er een deel van afgebrand is"	Brugs
2419	"Den wagen toezetten"	"absolute toezetten, wordt gezegd van de paarden op de akker die aan de wagen gespannen, van afstand tot afstand voortrijden en stil gehouden worden, terwijl men schoven of mest op of aflaadt"	Brugs
2420	"(Van) De trunte spelen"	"zich als trunte gedragen, truntachtig spreken of te werk gaan"	Brugs
2421	"Den tweeslag slaan"	"bijzondere manier van djakken, waarbij men, in een zwaai, de tweeslag doet klappen zowel als het voorsnoer, zodat men twee slagen hoort, de één onmiddellijk na de ander"	Brugs
2422	"Het uitsteken"	"zich wegpakken"	Brugs
2423	"De verlee geven"	"afkeer verwekken"	Brugs
2424	"Het graan versteken"	"van de ene plaats in de andere steken"	Brugs
2425	"Den voet verterten"	"?misstappen, zijn voet verstuiken"	Brugs
2426	"De penne voeren"	schrijven	Brugs
2427	"Het waterliedje zingen"	"op het punt zijn van verdrinken"	Brugs
2428	"Den zak krijgen"	"uit de biechtstoel weggezonden worden zonder absolutie"	Brugs
2429	"Het bier zetten"	"het vers gebrouwen bier te drijven zetten door er zetgist in te doen"	Brugs
2430	"Den zoeting schudden"	"door zachte en vleiende woorden zich met iemand trachten te verzoenen, trachten vrede te maken met iemand die men beledigd of vergramd heeft"	Brugs
2431	"Den beer leiden"	"den leêgaard scheren, lui zijn, niet werken"	Brugs
2432	"Den bal falen"	"de kans missen"	Brugs
2433	"Den paschen dragen"	"naar de zieken, het Heilige Sacrament dragen naar dezen die uit ziekte niet naar de kerk kunnen gaan om hun Paschen te houden"	Brugs
2434	"Er staan"	"ergens kwalijk vanaf komen, teleugesteld zijn"	Brugs
2435	"De bagagie scheren/spelen"	"in verlegenheid brengen"	Brugs
2436	"De vier gelijke spelen"	?kwartetten	Brugs
2437	"De huiden ajieren"	"met de handen wrijven en drukken, om ze lenig te maken"	Brugs
2438	"De kloefen kolen"	"gloeiende houtkolen in de holblokken doen en ze er enige stonden in schudden, om de holblokken te verwarmen"	Brugs
2439	"De schoe'en kuischen"	"ze zuiveren van slijk en vuiligheid en - in enige streken - ze blinken en glanzen"	Brugs
2440	"De wegen roefelen"	"er de begroeide en ruige oppervlakte met een spade vanaf schaven"	Brugs
2441	"De schoeren optrekken"	"dat doet men ofwel om te betekenen dat men een zaak niet genoeg kent om ja of nee te zeggen, ofwel om zijn misgenoegen of zijn verachting over iets zonder woorden uit te drukken"	Brugs
