sentence_id	original	translation	gloss	grammaticality	sentence_answerset_id	sentence_strategy_id
295	"Tegen/onder het gat geven "	"to reproach, to lecture (Lit.: to give against/under one's butt)"	"against/under the.SG.N butt give"	ok	Loois	1155
296	"Niet uit de voeten kunnen "	"to be ill, sick, unwell, unhealthy (Lit.: not be able to get out of one's feet) "	"not out the.PL feet can"	ok	Loois	1200
297	"Altijd op iemand zijn nek zitten "	"to not leave someone alone, to (always) tease someone, to (always) spoof someone (Lit.: to always sit on one's neck)"	"always on someone his.SG.M neck sit"	ok	Loois	1179
298	"Mijn handen zijn gebonden "	"I can't do what I want to do (Lit.: my hands are tied)"	"my.PL hand.PL be.3PL tie.PTCP"	ok	Wambeeks	1515
299	"Goed behangen/getapiseerd zijn "	"to be manifestly drunk (Lit.: to be well wallpapered/carpeted)"	"good wallpaper.PTCP/carpet.PTCP be "	ok	Wambeeks	1513
300	"Ernstig/serieus aan het kloten zijn "	"to make an extreme mess, to fuck up completely (Lit.: to seriously be playing around with one's balls)"	"serious/serious on it balls.INF be"	ok	Wambeeks	4986
301	"Aan het vijlen/zagen zijn"	"to snore loudly or to nag (Lit.: to be filing/sawing)"	"on it file.INF/saw.INF be"	ok	Wambeeks	1383
302	"Een slag op zijn ketel/van de molen hebben gekregen "	"to be crazy (Lit.: to have been hit on his kettle / by the windmill)"	"a.INDF.M strike on his.SG.M kettle/of the.SG.M windmill have get.PTCP"	ok	Wambeeks	1480
303	"Je peren hebben gezien "	"to have suffered a lot (Lit.: to have seen your pears)"	"your.PL pear.PL have see.PTCP"	ok	Wambeeks	1353
304	"Je kop moeten uitwerken"	"to do what you feel like, to do as you please, to have your own way (Lit.: to have to work out your head)  "	"your.SG.M head must out-work"	ok	Wambeeks	1363
305	"Op je kop mogen staan (ik zeg ""nee"") "	"I will do what I want anyway, whatever you say or do (Lit.: may stand on your head)"	"on your.SG.M head may stand (I say ""no"")"	ok	Wambeeks	1390
306	"Hoger willen schijten dan zijn gat "	"to spend more than one has earned (Lit.: to want to shit higher than his ass)"	"higher want shit.INF than his.SG.N butt"	ok	Wambeeks	1509
307	"Van de wind/hemelse dauw alleen niet konden leven "	"one had to have means of livelihood (Lit.: he could not live of the wind/heavenly dew alone)"	"of the.SG.M wind/heavenly dew alone not could-he live"	ok	Wambeeks	1385
308	"Hij zou zijn hemd weggeven "	"he would give away everything (Lit.: he would give away his shirt)"	"he would his.SG.N shirt away-give"	ok	Wambeeks	1357
309	"Niet graag in die zijn schoenen zouden staan "	"he wouldn't want to be in that person's shoes (Lit.: he would not like to stand in that one's shoes)"	"not gladly in that-one his.PL shoe.PL would-he stand"	ok	Wambeeks	1428
310	"Het ging over koetjes en kalfjes"	"it was about all sorts of trivial matters (Lit.: it was about little cows and little calves)"	"it go.PST.3SG over cow.DIM.PL and calf.DIM.PL"	ok	Wambeeks	4987
311	"Ze spelen met mijn voeten "	"they are fooling me (Lit.: they are playing with my feet)"	"they play.3PL with my.PL feet"	ok	Wambeeks	1396
312	"Zijn paraplu is toe "	"he died or he is dog-tired (Lit.: his umbrella is closed)"	"his.SG.M umbrella is closed"	ok	Wambeeks	1516
313	"Ze schijten mij uit"	"they are laughing at me, they are ridiculing me (Lit.: they are shitting me out)"	"they shit.3PL me out"	ok	Wambeeks	4988
314	"Zijn tenen zullen moeten uitkuisen "	"he will have to do his very best (Lit.: he will have to clean out his toes)"	"his.PL toe.PL will must out-clean"	ok	Wambeeks	1368
315	"Zijn schop/spade gaan afkuisen "	"he is going to stop/quit (Lit.: he is going to clean his shovel/spade)"	"his.SG.F shovel/spade go off-clean "	ok	Wambeeks	1352
316	"Niet aan je neus gaan hangen "	"to not be going to tell you (Lit.: to not be going hang on your nose)"	"not on your.SG.M nose go hang"	ok	Wambeeks	1391
317	"De biëst/het varken uithangen "	"to behave dissolutely, to be on a gigantic (partying, drinking, ...) spree, to have lost all control (Lit.: to behave as the beast/pig) "	"the.SG.F beast/the.SG.N pig out-hang"	ok	Wambeeks	1333
318	"De riem afleggen "	"to stop working: the working day is done (Lit.: to lay off the belt)"	"the.SG.M belt off-lay "	ok	Wambeeks	1330
319	"Het kind uithangen"	"to act ridiculously, stupidly (Lit.: to behave as the child)"	"the.SG.N child out-hang "	ok	Wambeeks	1329
320	"De broek dragen "	"to be the boss (Lit.: to wear the pants)"	"the.SG.M pants wear"	ok	Wambeeks	1334
321	"Een bees ophebben "	"to be drunk (Lit.: to have consumed a ?berry/?grape)"	"a.INDF.F ?berry/?grape up-have"	ok	Wambeeks	1339
322	"Een groot blad hebben "	"to slander/gossip/badmouth or to talk a lot (Lit.: to have a big leaf/blade=tongue)"	"a.INDF.F big leaf/blade have"	ok	Wambeeks	1374
323	"Er een boenk op geven "	"to (go) party hard (Lit.: to give a thump on it)"	"there a.INDF.F thump on give"	ok	Wambeeks	1345
325	"Een doef/een boenk gaan "	"to fall down heavily (Lit.: to go a thud/thump)"	"a.INDF.M thud/a.INDF.F thump go"	ok	Wambeeks	1341
326	"Een kemel schieten "	"to make a stupid mistake, to say something stupid (Lit.: to shoot a camel)"	"a.INDF.M camel shoot"	ok	Wambeeks	1344
327	"Iemand de neus afbijten "	"to snap at someone (Lit.: to bite someone's nose off)"	"someone the.SG.M bose off-bite"	ok	Wambeeks	1445
328	"Iemand de prang op de neus zetten "	"to force someone to tell something he doesn't want to (Lit.: to put the clamp on someone's nose)"	"someone the.SG.F clamp on the.SG.M nose put"	ok	Wambeeks	1461
329	"De benen van onder zijn gat lopen "	"to go out of one's way, to do your utmost to make someone happy OR to hurry (Lit.: to run his legs from under his ass)"	"the.PL leg.PL from under his butt run"	ok	Wambeeks	1466
330	"In de handen spuwen/spiëken "	"to start working (Lit.: to spit in one's hands)"	"in the.PL hand.PL spit/spit"	ok	Wambeeks	1408
331	"Achter het gat spreken/klappen "	"to slander/gossip/badmouth about someone in his absence (Lit.: to talk behind the butt)"	"behind the.SG.N butt speak/clap"	ok	Wambeeks	1392
332	"Iemand wat meer achter zijn lui gat zitten "	"to put/encourage/incite someone to work (Lit. to sit some more behind someone's lazy ass)"	"someone some more behind his.SG.N lazy ass sit"	ok	Wambeeks	1452
501	"Gisteren had Piet een dagtaak aan die klus, maar vandaag heeft Eva er de dagtaak aan."			*	Utrechts	2
502	"Gisteren had Piet een dagtaak aan die klus, maar vandaag heeft Eva er die dagtaak aan."			*	Utrechts	2
503	"Hij heeft een grote dagtaak aan dat klusje."			%	Utrechts	2
504	"Gisteren had Piet een dagtaak aan die klus, maar vandaag heeft Eva er haar dagtaak aan."			*	Utrechts	2
505	"Van maandag tot en met zondag, ze heeft er elke dagtaak aan."			*	Utrechts	2
506	"Ja, een dagtaak heeft hij aan die klus zeker gehad!"			%	Utrechts	2
507	"Vaak heeft Maartje de bokkenpruik op, maar nu heeft Els die pokkenpruik op."			*	Utrechts	17
508	"Hij heeft de sombere bokkenpruik op."			*	Utrechts	17
509	"Alles ging mis bij Jan, dus hij heeft nu al de hele dag een bokkenpruik op."			%	Utrechts	17
510	"Hij heeft de witte bokkenpruik op."			*	Utrechts	17
511	"Vaak heeft Maartje de bokkenpruik op, maar nu heeft Els haar bokkenpruik op."			*	Utrechts	17
512	"Op het werk, bij haar vriend, in het verkeer: Maartje heeft echt altijd elke bokkenpruik op."			*	Utrechts	17
513	"Jazeker, de bokkenpruik heeft hij altijd op!"			%	Utrechts	17
514	"Piet doet woensdagmiddag een tukkie, maar Jan doet elke dag het tukkie."			*	Utrechts	21
515	"Piet doet woensdagmiddag een tukkie, maar Jan doet elke dag dat tukkie."			%	Utrechts	21
516	"Een tukkie werd/is gedaan (door hem)."			*	Utrechts	21
517	"Hij doet een klein tukkie."			ok	Utrechts	21
518	"Piet doet woensdagmiddag een tukkie, maar Jan doet elke dag zijn tukkie."			%	Utrechts	21
519	"Je mag drie keer per dag een tukkie doen, en Jan doet elk tukkie."			*	Utrechts	21
520	"Jazeker, een tukkie doet hij altijd om deze tijd!"			%	Utrechts	21
521	"Hij mag/moet haar zweten."			Unknown	Utrechts	24
522	"Hij wil haar zweten."			Unknown	Utrechts	24
523	"Hij zou haar zweten."			Unknown	Utrechts	24
524	"Zij werd/is gezweet."			Unknown	Utrechts	24
525	"Hij zal/gaat haar zweten."			Unknown	Utrechts	24
526	"Hij zweet haar."			Unknown	Utrechts	24
527	"Zeker, zijn zus kan hij altijd wel zweten!"			Unknown	Utrechts	24
528	"Zeker, zweten kan hij haar altijd wel!"			Unknown	Utrechts	24
529	"Je zal op je achterste poten staan."			%	Utrechts	26
530	"Er werd/is op zijn achterste poten gestaan."			*	Utrechts	26
531	"Natuurlijk, op zijn achterste poten gaat hij altijd staan tijdens onze vergaderingen!"			%	Utrechts	26
532	"Er werd/is op apegapen gelegen (door hem)."			*	Utrechts	27
533	"Hij lag op apegapen."			ok	Utrechts	27
534	"Ja, op apegapen ligt hij altijd!"			%	Utrechts	27
535	"Je mag uit je doppen kijken."			*	Utrechts	33
536	"Je kan uit je doppen kijken."			*	Utrechts	33
537	"Je wil uit je doppen kijken."			*	Utrechts	33
538	"Je zou uit je doppen hebben gekeken."			*	Utrechts	33
539	"Er werd/is uit je doppen gekeken."			*	Utrechts	33
540	"Je zal/gaat uit je doppen kijken."			*	Utrechts	33
541	"Je keek uit je doppen."			%	Utrechts	33
542	"Jazeker, uit je doppen moet je daar altijd kijken!"			%	Utrechts	33
543	"Jan op z'n flikker geven"			ok	Utrechts	34
544	"Op de flikker van Jan geven"			*	Utrechts	34
545	"Op Jans flikker geven"			*	Utrechts	34
546	"Hij het vanmiddag drie gerechten in z'n raap geslagen."			Unknown	Utrechts	59
547	"Hij werd/is vanmiddag nogal in z'n raap geslagen."			Unknown	Utrechts	59
548	"Hij sloeg gisteren nogal wat in z'n raap."			Unknown	Utrechts	59
549	"In z'n raap het hij vanmiddag veel/drie gerechten geslagen."			Unknown	Utrechts	59
550	"Er werd/is van wanten geweten (door hem)"			*	Utrechts	71
551	"Hij wist van wanten."			ok	Utrechts	71
552	"Ja, van wanten weet hij zeker!"			%	Utrechts	71
553	"Gisteren beet het mij de keel af, maar vandaag bijt het hem die keel af."			Unknown	Utrechts	76
554	"De keel wordt/is hem afgebeten."			Unknown	Utrechts	76
555	"Hij beet hem de hongerige keel af."			Unknown	Utrechts	76
556	"Jan heeft al uren niks gegeten, dus het bijt hem een keel af."			Unknown	Utrechts	76
557	"Hij beet hem de schorre keel af."			Unknown	Utrechts	76
558	"Gisteren beet het mij de keel af, maar vandaag bij het hem zijn keel af."			Unknown	Utrechts	76
559	"s Ochtends, 's middags, 's avonds: het bijt hem elke keel af."			Unknown	Utrechts	76
560	"Nou, de keel beet het hem zeker af."			Unknown	Utrechts	76
561	"Nou, de keel af beet het hem zeker."			Unknown	Utrechts	76
562	"Vaak doet Jan haar de dampen aan, maar vandaag deed Kees haar die dampen aan."			Unknown	Utrechts	77
563	"De dampe werden hem aangedaan (door Jan)."			Unknown	Utrechts	77
564	"Jan deed hem de pijnlijke dampe aan."			Unknown	Utrechts	77
565	"Jan is echt wreed, hij doet Kees altijd een damp aan."			Unknown	Utrechts	77
566	"Jan deed hem de grote dampe aan."			Unknown	Utrechts	77
567	"Vaak doet Jan haar de dampen aan, maar vandaag deed Kees haar zijn dampen aan."			Unknown	Utrechts	77
568	"Knijpen, spugen, pesten: hij doet haar echt elke damp/alle dampen aan."			Unknown	Utrechts	77
569	"Ja, absoluut, de dampe heeft Jan hem aangedaan."			Unknown	Utrechts	77
570	"Je zou me de bout hachelen."			*	Utrechts	78
571	"Je kunt hem de bout hachelen."			*	Utrechts	78
572	"Mijn broer kan me de bout hachelen."			%	Utrechts	78
573	"Je moet me de bout hachelen."			*	Utrechts	78
574	"De bout werd/is me gehacheld."			*	Utrechts	78
575	"Je zal/gaat me de bout hachelen."			*	Utrechts	78
576	"Je hachelde me de bout."			*	Utrechts	78
577	"De bout kun je me hachelen!"			*	Utrechts	78
578	"Hij mag/moet een ei in z'n gat gaar koken."			*	Utrechts	89
579	"Hij wil een ei in z'n gat gaar koken."			*	Utrechts	89
580	"Hij zou een ei in z'n gat gaar koken."			*	Utrechts	89
581	"Een ei werd/is in z'n gat gaar gekookt."			*	Utrechts	89
582	"Hij zal/gaat een ei in z'n gat gaar koken."			*	Utrechts	89
583	"Hij kookt een ei in z'n gat gaar."			*	Utrechts	89
584	"Zeker, eei ei kan hij altijd in z'n gat gaar koken!"			*	Utrechts	89
585	"In z'n gat kan hij altijd een ei gaar koken!"			*	Utrechts	89
586	"Hij mag/moet het grondgat van de zaak weten."			Unknown	Utrechts	91
587	"Hij kan het grondgat van de zaak weten."			Unknown	Utrechts	91
588	"Hij zou het grondgat van de zaak weten."			Unknown	Utrechts	91
589	"Het grondgat van de zaak werd/is door hem geweten."			Unknown	Utrechts	91
590	"Hij gaat/zal het grondgat van de zaak weten."			Unknown	Utrechts	91
591	"Hij weet het grondgat van de zaak."			Unknown	Utrechts	91
592	"Het grongdat van de zaak wil hij altijd weten!"			Unknown	Utrechts	91
593	"De zaak z'n grondgat willen weten"			Unknown	Utrechts	91
594	"Hij wil het grondgat ervan weten."			Unknown	Utrechts	91
595	"De zaaks grondgat willen weten"			Unknown	Utrechts	91
596	"Jan heeft soms een stuk in zijn kraag, maar Pieter heeft elke vrijdag het stuk in z'n kraag."			*	Utrechts	96
597	"Jan heeft soms een stuk in zijn kraag, maar Pieter heeft elke vrijdag dat stuk in z'n kraag."			%	Utrechts	96
598	"Hij heeft een bezopen stuk in z'n kraag."			*	Utrechts	96
599	"Hij heeft een groot stuk in z'n kraag."			%	Utrechts	96
600	"Jan heeft soms een stuk in zijn kraag, maar Pieter heeft elke vrijdag zijn stuk in z'n kraag."			*	Utrechts	96
601	"Vorige week op dat feestje, vorige maand na een etentje, twee weken geleden na een concert: hij had elk stuk in z'n kraag."			*	Utrechts	96
602	"Jazeker, een stuk heeft hij bijna elk weekend in z'n kraag!"			%	Utrechts	96
603	"Ja, een stuk in z'n kraag heeft hij bijna elk weekend!"			%	Utrechts	96
604	"We mogen 't huisje bij 't schuurtje laten."			ok	Utrechts	99
605	"Mijn broers/Zij motte 't huisje bij 't schuurtje late."			ok	Utrechts	99
606	"We kunnen 't huisje bij 't schuurtje laten."			ok	Utrechts	99
607	"We willen 't huisje bij 't schuurtje laten."			ok	Utrechts	99
608	"We zouden 't huisje bij 't schuurtje laten."			?	Utrechts	99
609	"t Huisje werd/is bij 't schuurtje gelaten."			ok	Utrechts	99
610	"We zullen/gaan 't huisje bij 't schuurtje laten."			ok	Utrechts	99
611	"We lieten 't huisje bij 't schuurtje."			ok	Utrechts	99
612	"t Huisje moeten we zeker bij 't schuurtje laten!"			ok	Utrechts	99
613	"Jan heeft soms een snee in zijn neus, maar Pieter heeft elke vrijdag de snee in z'n neus."			*	Utrechts	110
614	"Jan heeft soms een snee in zijn neus, maar Pieter heeft elke vrijdag die snee in z'n neus."			*	Utrechts	110
615	"Hij heeft een bezopen snee in z'n neus."			*	Utrechts	110
616	"Hij heeft een flinke snee in z'n neus."			%	Utrechts	110
617	"Jan heeft soms een snee in zijn neus, maar Pieter heeft elke vrijdag zijn snee in z'n neus."			*	Utrechts	110
618	"Vorige week op dat feestje, vorige maand na een etentje, twee weken geleden na een concert: hij had elke snee in z'n neus."			*	Utrechts	110
619	"Ja absoluut, een snee in z'n neus heeft hij bijna elk weekend! Ja absoluut, een snee heeft hij bijna elk weekend in z'n neus!"			*	Utrechts	110
620	"Meestal zet ik de sokke erin, maar vandaag zet mijn broer die sokke erin."			*	Utrechts	112
621	"De sokke werden/zijn erin gezet (door hem)."			%	Utrechts	112
622	"Hij zette er de snelle sokke in."			*	Utrechts	112
623	"Hij is laat, dus hij zet er een sok in."			*	Utrechts	112
624	"Hij zette er de groene sokke in."			*	Utrechts	112
625	"Meestal zet ik de sokke erin, maar vandaag zet mijn broer zijn sokke erin."			*	Utrechts	112
626	"Jan krijgt bijna wekelijks een bekeuring, hij zet echt elke sok/alle sokke erin."			*	Utrechts	112
627	"Jazeker, de sokke zet hij er altijd in!"			*	Utrechts	112
628	"Gisteren spuugde ik het hart uit m'n lijf, maar vandaag spuugt Peter dat hart uit z'n lijf."			*	Utrechts	115
629	"Het hart werd/is uit z'n lijf gespuugd."			*	Utrechts	115
630	"Hij spuugde het misselijke hart uit z'n lijf."			*	Utrechts	115
631	"Jan is zo ziek, hij spuugt een hart uit z'n lijf!"			*	Utrechts	115
632	"Hij spuugde het grote hart uit z'n lijf."			*	Utrechts	115
633	"Gisteren spuugde ik het hart uit m'n lijf, maar vandaag spuugt Peter zijn hart uit z'n lijf."			?	Utrechts	115
634	"Vorige week op dat feestje, vorige maand na een etentje, twee weken geleden na een concert: hij spuugde elk hart uit z'n lijf."			*	Utrechts	115
635	"Ja, echt, het hart spuugde hij uit z'n lijf!"			*	Utrechts	115
636	"Jazeker, het hart uit z'n lijf spuugde hij!"			*	Utrechts	115
637	"Hij mag/moet er kakhuize mee dekke."			Unknown	Utrechts	123
638	"Hij wil er kakhuize mee dekke."			Unknown	Utrechts	123
639	"Hij zou er kakhuize mee dekke."			Unknown	Utrechts	123
640	"Er worden/zijn kakhuize mee gedekt."			Unknown	Utrechts	123
641	"Hij zal/gaat er kakhuize mee dekke."			Unknown	Utrechts	123
642	"Hij dekt er kakhuize mee."			Unknown	Utrechts	123
643	"Kakhuize ken hij er absoluut mee dekke!"			Unknown	Utrechts	123
644	"Zij baarde hem met een helm."			%	Utrechts	133
645	"Hij werd met een helm geboren."			%	Utrechts	133
646	"Ja, met een helm is hij duidelijk geboren."			%	Utrechts	133
647	"De politicus trekt altied die melk op."			*	Deventers	158
648	"De melk werd deur hem opgetrokken."			%	Deventers	158
649	"De politicus trok de beloofde melk op."			%	Deventers	158
650	"De politicus trekt altied een melk op."			*	Deventers	158
651	"De politicus trok de zure melk op."			*	Deventers	158
652	"De politicus trekt altied zien melk op."			?*	Deventers	158
653	"Belastingverlaging, een nieuwe tunnel, een autoverbod: die politicus trekt alle melk op."			*	Deventers	158
654	"Jazeker, de melk wordt deur hem altied opgetrokken!"			%	Deventers	158
655	"Hee nemt kuierlatten."			*	Deventers	159
656	"Hee nemt die kuierlatten."			*	Deventers	159
657	"De kuierlatten werden deur hem genommen."			*	Deventers	159
658	"Hee nam de snelle kuierlatten."			*	Deventers	159
659	"Hee nam de lange kuierlatten."			*	Deventers	159
660	"Hee nemt zien kuierlatten."			*	Deventers	159
661	"Als hee naar de supermarkt geet, een blokje om, of naar zien werk: hee nemt echt elke kuierlat / alle kuierlatten."			*	Deventers	159
662	"Jazeker, de kuierlatten nemt hee altied!"			*	Deventers	159
663	"Hee las Battemse krante."			*	Deventers	160
664	"Hee las die Battemse krante."			*	Deventers	160
665	"De Battemse krante werde deur hem elèzen."			*	Deventers	160
666	"Hee las de korte Battemse krante"			*	Deventers	160
667	"Hee las een Battemse krant."			*	Deventers	160
668	"Hee las de hele Battemse krante."			*	Deventers	160
669	"Hee las zien Battemse krante."			*	Deventers	160
670	"Drie keer per dag mag je de Battemse krante lèzen, en hee leest elke Battemse krant."			*	Deventers	160
671	"Ja zeker, de Battemse krante leest hee elke dag!"			*	Deventers	160
672	"Hee trekt het möjleke lipken."			*	Deventers	161
673	"Hee trekt dat möjleke lipken."			*	Deventers	161
674	"Een möjlek lipken werd deur hem getrokken."			*	Deventers	161
675	"Hee trekt een verdrietig möjlek lipken."			*	Deventers	161
676	"Hee trekt een rood möjlek lipken."			*	Deventers	161
677	"Hee trekt zien möjlek lipken."			*	Deventers	161
678	"Als hee geen cadeautje krijgt, als hee broccoli mot eten: die peuter trekt ieder möjlek lipken."			*	Deventers	161
679	"Jazeker, een möjlek lipken trekt hee altied!"			*	Deventers	161
680	"met de broodoogen van Jan zeuken"			*	Deventers	173
681	"met Jans broodoogen zeuken"			*	Deventers	173
682	"Er werd deur hem met zien broodoogen ezocht."			%	Deventers	173
683	"Hee zöch met zien broodoogen."			ok	Deventers	173
684	"Ja, met zien broodoogen zöch hee altied!"			*	Deventers	173
685	"Hee zit in de wilde bukweite te lüllen./Hee is in de wilde bukweite aan't lüllen."			*	Deventers	174
686	"Er werd deur hem in de wilde bukweite gelüld."			ok	Deventers	174
687	"Hee hef in de wilde bukweit gelüld."			?	Deventers	174
688	"Hee lült in de wilde bukweite."			ok	Deventers	174
689	"Ja echt, in de wilde bukweite lülde hij voort!"			*	Deventers	174
690	"op de falie van Jan kriegen"			*	Deventers	175
691	"op Jans falie kriegen"			*	Deventers	175
692	"In de kniepert werd deur hem ezeten."			*	Deventers	181
693	"Hee zat in de kniepert."			ok	Deventers	181
694	"Ja absoluut, in de kniepert zat hee echt."			*	Deventers	181
695	"De zieke man mag deur 't knökkelenbos."			*	Deventers	182
696	"De zieke man kan deur 't knökkelenbos."			*	Deventers	182
697	"De zieke man wil deur 't knökkelenbos."			*	Deventers	182
698	"De zieke man zol deur 't knökkelenbos goan."			*	Deventers	182
699	"De zieke man zal deur 't knökkelenbos goan."			%	Deventers	182
700	"De zieke man ging deur 't knökkelenbos."			ok	Deventers	182
701	"Ja absoluut, deur 't knökkelenbos mot hee zeker."			*	Deventers	182
702	"Die roddel werd hem deur zien kameroad in eschuund."			ok	Deventers	208
703	"Hee schuunde zien kameroad die roddel in."			ok	Deventers	208
704	"Ja absoluut, roddels schuunt hee altied in!"			ok	Deventers	208
705	"Hee löp zien gat üt den naod."			%	Deventers	224
706	"Hee löp zien gat üt zien naod."			*	Deventers	224
707	"Hee löp het gat üt zien naod."			%	Deventers	224
708	"Hee nemt zwaore vrachten op de pokkel."			%	Deventers	234
709	"Hee nemt zien zwaore vrachten op de pokkel."			*	Deventers	234
710	"zwaore vrachten op de pokkel van Jan nemmen"			*	Deventers	234
711	"Hee nemt zien zwaore vrachten op zien pokkel."			*	Deventers	234
712	"zwaore vrachten op Jans pokkel nemmen"			*	Deventers	234
713	"Ik hebbe de konte uut den haok eloopen."			%	Deventers	241
714	"Ik hebbe mien konte uut den haok eloopen."			%	Deventers	241
715	"Ik hebbe mien konte uut mien haok eloopen."			*	Deventers	241
716	"Ik hebbe de konte uut mien haok eloopen."			*	Deventers	241
717	"Ik hebbe mien mien konte uut den haok eloopen."			*	Deventers	241
718	"Ik hebbe mien mien konte uut mien haok eloopen."			*	Deventers	241
719	"Ik hebbe mien de konte uut mien haok eloopen."			*	Deventers	241
720	"De konte uut den naod werd deur mien eloopen."			*	Deventers	241
721	"Ik liepe mien de konte uut den naod."			ok	Deventers	241
722	"Ja echt, de konte uut den naod heb ik mien eloopen!"			*	Deventers	241
723	"Ja echt, uut den naod heb ik mien de konte eloopen!"			*	Deventers	241
724	"ik heb 'n poeste in het lief egèten."			*	Deventers	242
725	"Ik heb mien poeste in het lief egèten."			*	Deventers	242
726	"Ik heb mien poeste in m'n lief egèten."			*	Deventers	242
727	"Ik heb 'n poeste in m'n lief egèten."			*	Deventers	242
728	"Ik heb mien mien poeste in het lief egèten."			*	Deventers	242
729	"Ik heb mien mien poeste in mien lief egèten."			*	Deventers	242
730	"Ik heb mien 'n poeste in mien lief egèten."			*	Deventers	242
731	"Ja echt, n poeste hebbe ik mien zeker in 't lief egèten!"			*	Deventers	242
732	"Een poeste werd deur mien in 't lief egèten."			*	Deventers	242
733	"Ik heb mien 'n grote poeste in 't lief egèten."			*	Deventers	242
734	"Ik heb mien 'n rode poeste in 't lief egèten."			*	Deventers	242
735	"Ja echt, 'n poeste in 't lief heb ik mien egèten!"			*	Deventers	242
736	"Hee hef zich 'n poeste in 't lief egèten."			ok	Deventers	242
737	"Ik atte mien 'n poeste in 't lief."			ok	Deventers	242
738	"Hee vrög 't hemd van 't gat."			%	Deventers	243
739	"Hee vrög mien hemd van 't gat."			%	Deventers	243
740	"Hee vrög mien hemd van mien gat."			*	Deventers	243
741	"Hee vrög 't hemd van mien gat."			*	Deventers	243
742	"Hee vrög mien mien hemd van 't gat."			*	Deventers	243
743	"Hee vrög mien mien hemd van mien gat."			*	Deventers	243
744	"Hee vrög mien 't hemd van mien gat."			*	Deventers	243
745	"Ja, 't hemd hef hee mien zeker van 't gat evroagd!"			*	Deventers	243
746	"Ja, 't hemd van 't gat hef hee mien zeker evroagd!"			?*	Deventers	243
747	"Hij kan dat vuur wel instrieken"			ok	Drents	278
748	"Het vuur kan wel ingestroken worden door hem"			*	Drents	278
749	"Hij kan het mislukte vuur wel instrieken"			*	Drents	278
750	"Hij kan een vuur wel instrieken"			*	Drents	278
751	"Hij kan het hete vuur wel instrieken"			*	Drents	278
752	"Hij kan zien vuur wel instrieken"			ok	Drents	278
753	"Zien studie rechten, zien baantje bij de supermarkt, het giet allemaal mis: hij kan elk vuur wel instrieken"			*	Drents	278
754	"Kan hij het vuur wel instrieken? Ja, het vuur kan hij zeker wel instrieken"			?	Drents	278
755	"Hij mot het vuur wel instrieken"			ok	Drents	278
756	"Hij wil het vuur wel instrieken"			ok	Drents	278
757	"Hij zou het vuur wel instrieken"			ok	Drents	278
758	"Het vuur wordt door hem wel ingestroken"			*	Drents	278
759	"Hij zal het vuur wel instrieken"			ok	Drents	278
760	"Hij striekt het vuur wel in"			ok	Drents	278
761	"Kan hij het vuur instrieken? Ja, zeker weten, het vuur kan hij altied wel instrieken!"			?	Drents	278
762	"Hij had het flink te lien"			%	Drents	282
763	"Hij moet de scheldpartij lien"			%	Drents	282
764	"Hij kan het lien"			%	Drents	282
765	"Hij wil het lien"			*	Drents	282
766	"Hij zou het lien"			%	Drents	282
767	"Het moet door hem gelien worden"			*	Drents	282
768	"Hij zal het lien"			%	Drents	282
769	"Hij liede het."			*	Drents	282
770	"Moet hij het lien? Ja, lien moet hij het altied!"			?*	Drents	282
771	"Hij kan dat klusje ritsen"			ok	Drents	284
772	"Hij mot het ritsen"			ok	Drents	284
773	"Hij wil het ritsen"			ok	Drents	284
774	"Hij zou het ritsen"			ok	Drents	284
775	"Het wur door hem geritst"			%	Drents	284
776	"Hij zal het ritsen"			%	Drents	284
777	"Hij ritste het"			?	Drents	284
778	"Kan hij het ritsen? Ja, zeker weten, ritsen kan hij het altied"			%	Drents	284
779	"Hij gaf me de wieze bek"			*	Drents	295
780	"Hij gaf me die wieze bek"			*	Drents	295
781	"Er wur door hem een wieze bek gegeven"			%	Drents	295
782	"Hij gaf me een onbeleefde wieze bek"			*	Drents	295
783	"Hij gaf me een wijdopen wieze bek"			*	Drents	295
784	"Hij gaf me zien wieze bek"			%	Drents	295
785	"Mien vriend is het altied met me oneens. Over de afwas, over welke film we gaan zien – hij geeft me elke wieze bek."			*	Drents	295
786	"Gaf hij je een wieze bek? Ja, een wieze bek gaf hij me zeker!"			%	Drents	295
787	"De wil van Jan kriegen"			*	Drents	320
788	"Jan's wil kriegen"			*	Drents	320
789	"Hij mot op 't iezer bieten"			ok	Drents	349
790	"Hij kan op 't iezer bieten"			%	Drents	349
791	"Hij zou op 't iezer bieten"			?*	Drents	349
792	"Er wur door hem op 't iezer gebeten"			*	Drents	349
793	"Hij giet op 't iezer bieten"			%	Drents	349
794	"Hij biet op 't iezer"			%	Drents	349
795	"Wil hij op 't iezer bieten? Ja, op 't iezer wil hij altied bieten!"			*	Drents	349
796	"Hij trekt an zien lip"			%	Drents	366
797	"Hij trekt zich an de lip"			*	Drents	366
798	"Hij trekt zich an zien lip"			*	Drents	366
799	"Iemand vroeg me of hij an d' lip trekt. Nou, an d' lip trekt hij zeker."			%	Drents	366
800	"Er wordt door hem an de lip getrokken"			*	Drents	366
801	"Hij zal an de lip trekken"			*	Drents	366
802	"Hij trok an de lip"			ok	Drents	366
803	"Trekt hij an de lip? Ja, an de lip trekt hij altied."			%	Drents	366
804	"De gaanzen hebben 'm niet oetbrödt."			*	Drents	412
